0 - [ 8  2  2  ]
1 - [ 2  14  8  2  12  ]
2 - [ 12  14  19  14  12  26  2  8  2  ]
66 - [ 14  14  14  14  14  14  14  14  14  14  ]
67 - [ 14  14  14  14  14  14  14  14  14  14  ]
68 - [ 14  14  14  14  14  14  14  14  14  14  ]
69 - [ 14  14  14  14  14  14  14  14  14  14  ]
70 - [ 14  14  14  14  14  14  14  14  14  14  ]
71 - [ 14  14  14  14  14  14  14  14  14  14  ]
72 - [ 14  14  14  14  14  14  14  14  14  14  ]
73 - [ 14  14  14  14  14  14  14  14  14  14  ]
74 - [ 14  14  14  14  14  14  14  14  14  14  ]
75 - [ 14  14  14  14  14  14  14  14  14  14  ]
76 - [ 14  14  14  14  14  14  14  14  14  14  ]
77 - [ 14  14  14  14  14  14  14  14  14  14  ]
78 - [ 14  14  14  14  14  14  14  14  14  14  ]
79 - [ 14  14  14  14  14  14  14  14  14  14  ]
80 - [ 14  14  14  14  14  14  14  14  14  14  ]
81 - [ 14  14  14  14  14  14  14  14  14  14  ]
82 - [ 14  14  14  14  14  14  14  14  14  14  ]
83 - [ 14  14  14  14  14  14  14  14  14  14  ]
84 - [ 14  14  14  14  14  14  14  14  14  14  ]
85 - [ 14  14  14  14  14  14  14  14  14  14  ]
86 - [ 14  14  14  14  14  14  14  14  14  14  ]
87 - [ 14  14  14  14  14  14  14  14  14  14  ]
88 - [ 14  14  14  14  14  14  14  14  14  14  ]
89 - [ 14  14  14  14  14  14  14  14  14  14  ]
90 - [ 14  14  14  14  14  14  14  14  14  14  ]
91 - [ 14  14  14  14  14  14  14  14  14  14  ]
92 - [ 14  14  14  14  14  14  14  14  14  14  ]
93 - [ 14  14  14  14  14  14  14  14  14  14  ]
94 - [ 14  14  14  14  14  14  14  14  14  14  ]
95 - [ 14  14  14  14  14  14  14  14  14  14  ]
96 - [ 14  14  14  14  14  14  14  14  14  14  ]
97 - [ 14  14  14  14  14  14  14  14  14  14  ]
98 - [ 14  14  14  14  14  14  14  14  14  14  ]
99 - [ 14  14  14  14  14  14  14  14  14  14  ]
